gps_point;street;postal_code
43.618049945,4.063879251;la gastade;34130
43.728552884,3.924475315;1100 ROUTE DE SAINT MATHIEU DE TREVIERS;34820
43.61335437,3.8692640540000003;371 avenue du marché gare;34070
43.504757859,3.36766451;"1,rue principale
Hameau de salleles";34720
43.454424304,3.040666458;Route de Causses et Veyran;34460
43.44813198,3.749580097;ZA LA PEYRADE;34110
43.540908254,2.91738827;Le Salvet St Etienne d'Albagnan;34390
43.68682806,3.842969964;Domaine de Saint Clément;34980
43.614447001,1.081354629;"Route deToulouse
Las Crabères";32600
44.022262753,1.364081417;569 CHEMIN DE BEGUE;82000
42.975741707,1.153483062;4 rue de bourg;09200
43.683376049,3.592224268;Chemin de Capion;34150
43.981476028,4.490965018;route départementale 6086;30210
43.251846301,2.856609811;4 cour du château;11120
43.084337113,1.02905351;pioulet;09160
43.661307259,3.469014257;BP1;34725
43.187559871,2.456950225;Rue des Corbieres;11800
43.534573652,3.122249509;Hameau de Lentheric;34480
43.079186051,0.383004275;3 ROUTE D'ESPAGNE;65250
43.049972342,2.2391332520000002;29 Avenue Charles de Gaulle;11300
43.620987218,0.879692871;ZA Lafourcade;32200
43.967166326,4.519310424;349 Chemin Des Bégudes;30210
43.204059124,2.762030341;4 Rue Des Romains;11200
43.117655664,2.184346138;Domaine La Louviere 1 La Louviere;11300
42.815401378,2.61294475;10 RUE DOCTEUR POUGAULT;66460
43.221078586,1.093274983;Z.A. MAILHOL DE SAINT-JEAN;31220
42.696441301,2.898977872;"242 ave de St CHARLES 
MEDINA 3  BP 85202";66000
43.090072325,2.949143672;Lieu dit Batiqueille;11440
43.132962214,2.653550229;23 AVENUE DE LA PROMENADE;11200
43.72381651,4.359105675;Route De Nîmes Station Fruitière Des Coteaux;30510
43.107731501,2.237780649;la coume;11300
42.763894047,2.944971914;9 rue des Blanqueries;66530
43.569206252,3.183484732;1207 Route De Pezenas;34600
43.61335437,3.8692640540000003;519 RUE DE LA CROIX VERTE;34090
43.769683846,3.870115659;140 av des côteaux de Mont ferrand;34270
42.602755615,2.759839983;46 AVENUE DES CORBIERES;66300
43.379717231,1.356256603;Lieu dit d''espinaouet;31870
43.730626684,3.30582418;1 Pae Le Capitoul;34700
43.683376049,3.592224268;Chemin des Conquetes;34150
44.222855488,2.446701163;"54 Chemin de Negrecam 
Lieu-dit NOYES";12160
43.474649421,3.510060528;DOMAINE SAINTE CROIX;34530
43.761327366,-0.030667017;AVENUE DANIATE;32110
43.805341297,4.488499277;MAS D ALBAN ROUTE DE BEAUCAIRE;30129
43.204059124,2.762030341;6 avenue gallieni;11200
44.447636834,2.028472055;Le Mas de Jammes;12260
43.535005474,3.426029227;cave coopérative;34230
43.695979509,3.387223961;ZA LA MERIDIENNE;34700
43.454424304,3.040666458;RTE DE CAZOULS;34460
44.3127547,4.465397244;Chemin de Cluchier;30760
44.793534901,1.465372839;891 Route de Campanole;46350
43.478651535,2.748611463;chemin de Portes 34 220 ST PONS DE THOMIERES;34220
44.126009118,1.098086865;2788 route de la Mégère;82200
43.751639943,4.49586055;Route de Jonquieres;30127
44.354970391,4.018205792;Chassac;30450
43.972634965,4.599829451;3, chemin de la Clastre;30210
43.347466978,3.230859725;3658 Route De Narbonne Chemin Du Luch;34500
43.544855875,1.34315827;131 ROUTE DE TOULOUSE;31270
43.540286834,3.702724923;Route du mas de bonnel;34660
44.529242018,3.481219072;"ZAE DU CAUSSE D'AUGE
RUE DE LA DRAINE";48000
42.584875828,2.777704947;Route De Trouillas  Mas De Della;66300
43.577640419,3.6174261149999998;Route De Montpellier;34230
43.271358589,2.510108547;9, avenue de la montagne noire;11800
43.179962504,2.611831566;76 avenue des Corbieres;11700
42.745702722,2.805480492;14 avenue Marechal;66390
44.022262753,1.364081417;641 Chemin du Quart;82000
43.904355826,4.683236609;342 CHEMIN DES AIRES;30390
42.794219656,3.00185226;3 rue Ludovic Masse;66250
44.097355053,3.117377106;120 rue Albert Austruy;12100
43.683376049,3.592224268;12 boulevard Saint Jean;34150
43.438188375,2.893011258;1, Rue des Cèdres;34360
43.250042588,2.453740247;Hameau de Villepeyroux;11600
43.650409014,3.5035213880000002;"Zae La Garrigue 
9 rue de l&#39;Amellau";34725
43.268809073,2.039125675;Domaine de la Souque;11150
43.831151987,3.881420005;Cazeneuve;34270
44.165612091,4.075326179;105, chemin de la transhumance;30520
42.819854033,2.139382024;Domaine des Massols;11140
43.454002649,3.237678458;10 Rue D'emblan;34480
43.429168764,3.578401617;Bld Ernest Massol 2 Lou Grégaou;34140
43.329764253,2.871298132;LIEU DIT LA ROUEYRE;11120
42.714957411,2.414181963;mas arsa;66730
42.600462526,2.9714856210000002;67 Avenue Paul Reig;66200
43.51370039,3.418578643;8 chemin des champs blancs;34320
44.126009118,1.098086865;665 route de la Mégère;82200
43.205491567,3.095655283;Route de Fleury;11110
44.126009118,1.098086865;6 rue du marché;82200
42.657183121,2.948547617;"Mas Alart
Route de Cabestany";66280
43.165034031,3.020200005;ROUTE DE NARBONNE PLAGE - DOMAINE DE L'HOSPITALET;11100
44.011954815,3.773436142;"Place de la mairie
place de la mairie";30440
43.177539691,2.836540512;79 Avenue Saint Marc;11200
42.815401378,2.61294475;Route des Mas;66460
43.654138489,3.6440911490000003;4 PLACE HIPPOLYTE NEGROU;34150
44.324799981,1.490913852;725 Avenue de Saint-Exupery;46230
43.049972342,2.2391332520000002;zi occitanie 4 rue jean mermoz;11300
43.752077408,3.833622848;DOMAINE HAUT LIROU;34270
42.621701446,3.015900405;Lieu-Dit 180 L'aspinesere Route Du Pas D'availl;66750
43.907052832,4.180646289;357 avenue de la mazade;30730
43.584948574,3.802111823;12 boulevard de la mairie;34880
42.643305566,2.758581736;ANCIEN CHEMIN DE PEZILLA;66300
43.5926656,2.797065505;Le Moulin;34330
43.569625011,2.9625663390000003;12 la plaine;34390
43.60911854,3.739490257;1 Place Clement Becat;34570
43.347466978,3.230859725;2 boulevard jean bouin;34500
43.598943086,3.245022151;"Domaine de Pouzes
2443, route de Bédarieux";34600
43.075584201,1.496439826;LE VILLAGE;09120
43.884627312,2.456410362;ZA Le Dolmen;81250
42.794219656,3.00185226;4 rue de Rivoli;66250
44.100404152,4.235841061;Chemin Bel Air;30580
43.165034031,3.020200005;12 QUAI DE LORRAINE;11100
43.265225733,2.174803002;"Domaine Sesquieres
route de Montolieu";11170
44.038213932,4.344343885;ZA DE QUEYOL;30700
43.270336816,2.934936727;ZI DE TRUILHAS;11590
43.284953259,2.812555363;RD5 RD5 RD5;11120
43.271358589,2.510108547;Fontanille le haut;11800
43.937626385,4.656381874;113 route d'Estezargues;30390
43.898340919,4.225775108;"ANDRE Aurélien
Mas de la Baraque";30730
43.49870426,2.950043462;2 avenue des mimosas;34360
43.299475662,2.062974252;1 Les Peries;11400
43.673984048,0.807474875;ROUTE DE MAUVEZIN;32270
43.463290067,3.415988682;17 rue calquieres basses;34120
43.776034771,3.950339227;"La Bergerie
Route de Benovie";34160
43.794379318,3.918964626;2, Chemin de Saint-Mathieu;34270
43.650511569,3.793954261;32 bis rue des perdreaux;34790
43.372928934,3.343122333;avenue d'agde;34290
43.177539691,2.836540512;22 Avenue des Auberges;11200
43.591715211,3.118012427;11 avenue des Treize Vents;34600
43.391754096,3.645303295;"PARC AQUATECHNIQUE
1 RUE DE COPENHAGUE";34200
43.918337479,3.997111173;47 Route De Sain Theodorit;30260
43.657805591,4.407426996;"CHEMIN D'ESPEYRAN       
MAS D'ESPEYRAN";30800
43.85034111,1.866612386;867 route de la brunerie basse;81600
43.414196926,3.306925606;101 GRAND RUE;34290
44.153814872,4.292379505;1 mas de la condamine;30580
42.410599118,2.065931157;RN116;66800
43.688923031,3.809875247;avenue du Clapas;34980
43.812967467,3.334377403;route du cimetière;34700
43.650409014,3.5035213880000002;29 COURS GREGOIRE;34725
43.392455396,3.400710702;Za La Crouzette;34630
43.28244228,-0.10640466100000001;16 route de Séron;65320
43.57832528,1.335058491;23625 Avenue Francois Verdier;31170
44.150362673,4.551555771;"Chemin du Pujol
DONNAT";30200
43.8319727,1.435539794;"Château CAZE
45 rue de la Négrette";31620
43.624109751,3.795734259;8 Rue Des Magnanarelles;34990
43.977704279,4.334601811;Chemin du Grès;30190
43.796373485,4.100102057;154 avenue des Cévennes;30250
43.347466978,3.230859725;cr 136;34500
43.33011498,2.6632184260000002;rue de la mairie;34210
43.468122358,3.091318538;Lieu-Dit Ricounels;34490
43.165034031,3.020200005;10 avenue du champ de mars atelier n°9;11100
43.494207907,3.723271944;mas de valez;34770
43.60846192,-0.09157296000000001;Château Bouscassé;32400
43.918337479,3.997111173;299 traverse de la paramèle;30260
43.569206252,3.183484732;route de Caussiniojouls, D 154;34600
43.442826523,3.373275285;Domaine Montrose;34120
44.195207001,4.579305349;Quartier Le Peyron;30200
43.533544566,3.925905368;59 Avenue de Saint Maurice;34250
43.105091278,2.497375532;81 Rue Du Levant;11220
44.055206704,4.641816189;7 rue du vernet;30290
42.568431313,2.95818133;chemin de taxo;66690
42.68492811,2.5109363829999998;Route de Marcevol;66320
42.815401378,2.61294475;Domaine Du Mas Amiel Domaine Du Mas Amiel Domaine Du Mas Amiel;66460
42.958549152,2.769716259;30 avenue des Hautes Corbières;11360
43.262771014,0.48914607;Lieu dit le claret, D929;65230
43.347466978,3.230859725;"Domaine de Galinenque 
1290 Ancienne route de Vendres";34500
43.351311868,3.102321113;10 rue des Tamaris;34370
43.613572792,5.306926325;CHEMIN DE BEAUPRE;13760
43.32556151,1.184674366;15 ROUTE DE CARBONNE;31390
42.980494691,2.74761188;Grand Rue;11360
42.85783321,2.79049003;81 rue marechal Joffre;66600
43.787883495,4.188906389;2300 route de St Etienne d'Escattes;30420
43.5449844,0.30260420800000004;LIEU DIT MATIOUET;32320
43.372367868,0.886030682;VC 18 LARRIOUAU;31230
43.734369424,4.191106098;9 place du jeu de ballon;30670
43.326033683,2.79277504;HAMEAU DE LA PRADE;34210
43.281126097,3.112383369;7 RUE DU SQUARE;34440
44.447636834,2.028472055;Zone industrielle;12260
43.505649142,3.010770251;Mr BACKHAUS 0 rue de l'église Hameau de Ceps;34460
43.249605454,2.366056227;DOMAINE DE BRAU;11620
43.967363293,4.27517859;Route de Dions, lieu dit les fournigons, serres agricoles;30190
42.720402404,2.6236771240000003;"Clot de l&#39;Oum, rte de Caladroy";66720
43.5101808,1.198806816;2392 rte de lamasquere;31470
43.61335437,3.8692640540000003;80 impasse Jasset;34070
42.454797801,2.108480918;5 avenue de Cerdagne;66800
42.796680046,2.822094634;Mas Cremat;66600
43.463290067,3.415988682;"Rue de la Confiserie Dumas
Parc d'activités Méridiane";34120
43.165034031,3.020200005;16 ROUTE DE LUNES;11100
43.347466978,3.230859725;2 boulevard Jean Bouin;34500
43.458159648,2.976816453;La Maurerie;34360
42.970091856,0.7575704480000001;Le Village;31160
43.542129033,3.390105629;16 boulevard Jules Ferry;34320
43.337696165,2.633094762;DOMAINE DE GOURGAZAUD;34210
43.518304172,3.264444507;23 Chemin Du Pétrole Canteperdrix;34320
43.347466978,3.230859725;21 RUE MARTIN LUTHER KING;34500
44.041566468,3.58678608;La Baumelle;30120
42.699215168,2.6899280560000003;Km 1 Route De Thuir;66170
44.072940359,1.2533436500000001;300 chemin de la Laque;82290
43.640292412,4.035800278;"ZA du Bosc
1bis rue de la Garrigue";34130
43.504757859,3.36766451;Domaine de Daurion;34720
44.027589849,3.676470867;Route De Valleraugue;30570
43.620987218,0.879692871;75 RUE NATIONAL;32200
43.684740378,3.928709476;Chemin de Transide et Cabrié;34820
43.596037953,1.4320949010000001;32, impasse Destarac;31400
42.696441301,2.898977872;10 rue de l'emporda;66000
44.023239127,3.926057985;Le Mazelet;30140
43.635198023,3.966850731;MAS DE CALAGE, Chemin de Calage;34130
43.776034771,3.950339227;ROUTE DE CARNAS;34160
43.347466978,3.230859725;2 rue des Poiriers;34500
42.454797801,2.108480918;8 Rue De L'église;66800
43.639492103,3.5739775099999997;Route d'Aniane;34150
44.255900707,3.925337491;Le Castanet Le Charbonnier;48160
43.828157602,4.557698025;33 ROUTE DE BELLEGARDE;30300
43.999630319,4.364829501;20 Chemin du Moulin, D982 Route d'Uzès;30700
43.307132984,0.133424246;125 Rue des Pyrenees;65350
43.429168764,3.578401617;Dne de Font-Mars, Rte de Marseillan;34140
42.731816612,2.131796976;Ch pichocanie;11140
43.48116613,3.217232819;37 avenue capitaine Bonnet;34480
43.323098827,1.960655389;"c/o Créaude
287 avenue Jean Fourastié";11400
43.625626772,4.305879996;Domaine Du Vistre Mas Du Vistre;30600
43.534573652,3.122249509;ROUTE D'AIGUES VIVES;34480
43.779737256,4.593839351;ile du pilet, route de fourques;30300
43.970429118,2.981290114;3 avenue de Lauras;12250
43.401924923,3.196989491;Chemin des tanes;34490
43.183414154,2.553460884;1 Rue de l'Artisanat;11700
43.247659024,3.058971335;16 Rue Beranger;11110
44.849128828,3.222127209;RECOULES;48200
43.214898429,3.175618889;DOMAINE DE LA NEGLY;11560
44.849128828,3.222127209;RECOULES;48200
43.201263792,2.204570916;15 IMPASSE LES GRAVES;11290
43.504757859,3.36766451;Domaine Chartreuse de Mougères;34720
43.214898429,3.175618889;Château d'Anglès;11560
44.263884545,1.127416159;Maison du Macaron de Lauzerte, 9 Route de Moissac;82110
43.812967467,3.334377403;Rue de la Mairie;34700
44.849128828,3.222127209;RECOULES;48200
42.614871867,2.430684568;Bureau Montagne Elevage;66500
43.710446561,3.898270391;975 ROUTE DE ST VINCENT;34820
42.895862273,2.966127513;19 avenue des corbieres;11510
43.637724723,3.912419233;3 rue du Dauphine;34170
44.009320427,4.69279273;ROUTE DE LA COMMANDERIE;30126
42.753861373,3.008502245;3 rue du Roussillon;66440
43.463290067,3.415988682;route de roujan;34120
43.717395514,0.9751624750000001;route de sarrant;32430
43.534573652,3.122249509;Le Coudougno;34480
43.20392759,2.8859489480000002;11 Le Cros;11200
44.102854344,4.663645549;105 Avenue du General DeGaulle;30290
42.767942954,2.707112915;AVENUE LOUIS VIGO;66310
44.009320427,4.69279273;Route des Vignobles;30126
44.73484341,1.376882168;Route de Salviac;46300
43.414196926,3.306925606;Mas de Peyrals;34290
43.540286834,3.702724923;4 rue du presbytère;34660
43.694085945,3.546427321;8 rue du Labadou;34150
43.330017422,3.317248454;3 RUE DES VIGNERONS;34420
43.309295818,3.48413177;43 quai Commandant Meric;34300
43.179962504,2.611831566;131 avenue des Corbières;11700
43.267903206,2.448968345;Château du Donjon;11600
43.844657847,4.3475910110000004;1505, chemin du Mas de ROULAN;30000
43.85209141,1.379226369;1605 C ROUTE DE TOULOUSE;31620
44.011626444,3.183654857;Parc d'activités Millau Larzac;12230
43.125671629,2.705226326;7 AVENUE DE LA PROMENADE;11200
43.65833008,4.242814281;28 chemin du Cailar;30740
44.881683696,1.550736013;540 CHEMIN DE LA CHAPELLE;46200
43.379729229,3.263406087;15 Rue Jules Ferry;34760
43.907052832,4.180646289;145 chemin du moulinas;30730
42.813576204,2.719362559;Route Des Mas;66720
43.441398131,2.963203182;16 route de Cazedarnes;34360
44.566840983,2.252858996;Zone Industrielle;12300
44.398112232,3.634349413;Les Badieux;48400
43.914649603,4.423148901;rue du nord;30320
43.157661251,1.3729059380000002;Domaine de Monginaut;09130
43.710446561,3.898270391;Mas de Périé, Route de Sainte Croix;34820
43.309295818,3.48413177;43 quai Commandant Meric;34300
43.684917352,1.537431465;Siège sociale : 4 route de Beaupuy;31180
42.806938895,2.047896069;1, rue barry d'Amount;11140
43.251233398,2.313909085;8 LES ALBARELS;11610
44.232726865,2.738231632;Moulin de Galat;12290
43.321894366,3.048051142;DOMAINE DE GUERY;34310
43.44813198,3.749580097;Avenue De La Gardiole Chemin De Poussan;34110
43.15494415,0.49224967500000005;"445 Ch de la cassoulade quartier les marris
quartier les marris";31580
43.893006938,1.990686447;ZA La Bouissounade;81150
43.400156265,2.817671141;Cave coopérative de Saint-Jean de Minervois;34360
44.76089486,2.577024165;Le bourg;12600
43.938196557,3.399931578;Licide;30770
43.673995909,3.478702552;10 rue la font du loup;34725
43.914649603,4.423148901;487 rue belle grappe;30320
43.44813198,3.749580097;chemin de poussan;34110
43.639492103,3.5739775099999997;Domaine de Pélican;34150
44.399743419,2.103429528;Gares du Mauron;12350
43.758031305,2.001320812;51 cote Bouriette;81300
43.567190207,3.448321556;Route de Peret;34800
42.778933018000004,2.8768525250000003;153 Route Départementale 900;66600
42.958549152,2.769716259;15 Avenue Des Hautes Corbieres;11360
43.049972342,2.2391332520000002;7 Rue Farman Zi De Flassian;11300
43.695979509,3.387223961;Loiras du Bosc;34700
47.14659194,4.938547235;10 RUE LAVOISIER;21700
43.259476614,2.81685473;1 RUE DU VIALA;11200
43.097978233,2.092076593;La Garriguette;11240
43.187388933,3.089015254;Domaine Camplazens;11110
43.868066575,4.077152885;chemin de clastre;30260
44.340900597,1.032400926;LE BOUSQUET;82150
43.504757859,3.36766451;Route de Nizas;34720
43.167768811,2.685956005;LAS LANOS;11700
43.612734226,3.166249797;"Domaine de Pélissols
Chemin de Dio et Valquières";34600
44.140519279,4.212340604;"429 route des Amandiers
Mas Amouroux";30340
43.64698159,3.699675339;Chemin De La Tour;34570
43.397636911,3.099410108;26 B Av Jean Jaurès;34370
43.683376049,3.592224268;Route de Puechabon;34150
43.165034031,3.020200005;Route de Gruissan;11100
43.650511569,3.793954261;7 rue du pesbytere;34790
43.100302222,2.021496856;LE FAJOU;11240
43.717395514,0.9751624750000001;Le Site - Route de Sarrant;32430
43.400353074,3.539423681;68 avenue de Florensac;34810
44.054393388,2.648339749;LA SARRETTE;12430
43.000422992,1.129404844;Pont du Baup;09190
44.101736556,4.150962052;3 Route D'uzès;30340
43.372928934,3.343122333;Quartier d'entreprises de l'Europe;34290
43.694085945,3.546427321;n°1 Lieu dit La Navette;34150
43.663169698,3.9118784360000003;Espace Bocaud, zone la Plaine;34830
43.937626385,4.656381874;"Château des Coccinelles
6, Rue des Écoles";30390
43.285543796,1.920177148;15 chemin d en touzet;11400
43.251430843,2.110586669;Route De Limoux;11150
43.652900646,3.936336459;D67 - Chemin des Carteirades;34920
43.534573652,3.122249509;La Liquière;34480
43.200073763,2.8162759900000003;3 Rue de la Poste;11200
43.830303602,3.918486755;"98 chemin d'Aleyrac
Hameau de Lascours";34270
43.454424304,3.040666458;Route de Causse et Veyran;34460
43.639492103,3.5739775099999997;Mas de capdaniel;34150
42.895862273,2.966127513;8 rue de la Noria;11510
43.682149094,4.135918439;270 RUE THOMAS EDISON;34400
43.187388933,3.089015254;46 avenue de Narbonne;11110
43.844657847,4.3475910110000004;230 impasse de bonne brise;30900
43.684740378,3.928709476;27 chemin figaret;34820
43.367441052,2.787196738;vialanove;34210
43.391754096,3.645303295;8 quai Francois Maillol;34200
43.347960858,2.853529202;8 Rte De Saint Jean De Minervois Hameau De Cazelles;34210
43.507288206,4.166392411;CHEMIN DE TERRE NEUVE;30240
43.927351256,4.53884371;Moulin Cante Perdix, 1 chemin du Sablas;30210
43.11966211,-0.080332505;23 rte de peyrouse;65100
43.209415595,2.343422135;12B Chemin Vento Farino;11000
43.867649016,3.705463904;lieu-dit les Caizergues;34190
43.500033193,3.167412624;26 avenue de la liberté;34480
43.429168764,3.578401617;Mas Saint Laurent Montmeze;34140
44.566641147,2.58444043;18 Lotissement Le Pouget;12580
43.347466978,3.230859725;"INNOVOSUD
Rue Pierre Simon Marquis de Laplace";34500
43.385621713,3.463982673;Domaine de valensac - RD 28 -;34510
43.234659038,0.066150886;20 Place du Foirai;65000
43.999630319,4.364829501;2 chemin du moulin;30700
43.916636393,1.886317631;453 chemin St Sauveur;81600
43.687386718,1.266534074;15 chemin de la Mouline;31700
43.283738198,2.384290306;Chemin des Eclauzes;11600
43.204059124,2.762030341;12 rue Gustave Eiffel;11200
43.313579486,2.214380597;2, route d'Alzonne;11170
43.657805591,4.407426996;"MAS DE MADAME 
11951 RTE DES ISCLES
D 179";30800
43.694085945,3.546427321;route de Montpeyroux;34150
42.820703118,2.507417036;18 Avenue Jean Moulin;66220
43.039590728,2.981175918;44 Rue De La Republique;11130
43.323098827,1.960655389;287 avenue Frédéric Passy;11400
43.637724723,3.912419233;20 chemin de l'éclair;34170
43.994309352,4.178506857;59 rue de la plaine;30190
43.61335437,3.8692640540000003;350 Et 439 Avenue Du Marechal Leclerc;34070
43.234659038,0.066150886;27 avenue des Forges 65000 Tarbes;65000
44.777420174,3.640826446;chabestras;48600
42.988267242,1.284044986;la serre;09420
42.521708822,2.064998598;16 Impasse des Artigues;66210
44.022262753,1.364081417;1915 Route de Bordeaux;82000
43.657805591,4.407426996;Parc d'activité les Mourgues;30800
43.096002435,2.604200077;Hameau de villemagne;11220
44.022262753,1.364081417;1415 Boulevard de Chantilly;82000
43.179802436,1.414995621;Moulin de Beauregard;09130
43.875176536,4.591991121;Chemin de la tour;30490
43.229198627,2.612593645;23 RUE DE LA FORGE;11700
43.083395167,2.714037602;10 rue de fabrezan;11220
42.85783321,2.79049003;7, rue Maréchal Joffre;66600
43.360468419,3.547235186;9 Bis Impasse Des Consuls;34340
43.657805591,4.407426996;1001 Chemin Du Mas Saint Gens;30800
42.731816612,2.131796976;RUE PICHO CANIE;11140
44.026307825,3.382056588;Rue du Moulin;12230
44.125130044,4.088567807;1120 Avenue Des Frères Lumière;30100
43.966650556,4.374939814;Chemin de Mirambel;30700
42.696441301,2.898977872;"ANCIENNE ROUTE DE CANET 
MAS MIRAFLORS";66000
43.663822562,3.728419549;1067 route de Grabels;34570
42.639650639,2.945868614;Mas barthes Rte de saleilles;66200
43.900428053,3.759520177;Route De Montoulieu;34190
44.481589096,3.172225606;7chemin de cadenet;48340
43.940364055,0.6505389850000001;Place du Général de Gaulle;32700
43.911614281,4.560844711;"Route de Beaucaire, 
110, Chemin de la Soubeyranne";30210
44.009320427,4.69279273;"TRINQUEVEDEL
CHEMIN DES PRES";30126
43.53149473,3.54356087;Lafon de Lacan;34230
43.107212112,2.64037558;1 RUE DES FLEURS;11220
43.971678325,0.374286871;5 Avenue de la Gare;32100
43.049972342,2.2391332520000002;1 Avenue du Mauzac;11300
43.776034771,3.950339227;Chemin Des Pres;34160
43.657805591,4.407426996;"ZAC MITRA
RUE DU BREGUET";30800
43.507288206,4.166392411;"Avenue de Camargue
Les Floralies 2";30240
43.44813198,3.749580097;"2 ET 4 RUE DES SAUNIERS
ZIA DU BARNIER";34110
43.372928934,3.343122333;556 Avenue de Béziers;34290
43.030054245,2.669622022;2 chemin des Vignerons;11220
43.347960858,2.853529202;LES CROZES;34210
43.563533608,3.902143886;"La cereirede 
698 chemin du mas de merle";34970
43.391754096,3.645303295;Quai de la Consigne;34200
42.90627739,2.727780393;3 rue de la glacière;11350
43.522315551,3.199781498;14 Ancienne Route Nationale Domaine La Sarabande;34480
43.478651535,2.748611463;Les Vignes de la Coste;34220
43.51370039,3.418578643;D 124;34320
43.179962504,2.611831566;Chateau de Cabriac;11700
44.247900484,3.386842023;Hyelzas x village;48150
